
NOTICE: Existing SQLite export found: profiles/gan_profile.sqlite
        It is assumed file was previously exported from: profiles/gan_profile.nsys-rep
        Consider using --force-export=true if needed.

Processing [profiles/gan_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls    Avg (ns)      Med (ns)     Min (ns)    Max (ns)    StdDev (ns)                         Name                      
      0.1       21,522,079         47     457,916.6      33,231.0      16,101    7,274,688   1,173,165.8  cuLibraryUnload                                 
      0.1       20,682,553         86     240,494.8     206,023.0     137,972      435,716      88,650.6  cudaGraphLaunch_v10000                          
      0.1       15,582,744     31,902         488.5         440.0         250       36,710         747.5  cudaStreamIsCapturing_v10000                    
      0.1       14,898,189          6   2,483,031.5   2,048,235.0   2,001,470    4,661,069   1,067,927.9  cudaGetDeviceProperties_v2_v12000               
      0.0       12,563,751     31,129         403.6         340.0         300      460,327       2,962.6  cudaEventDestroy                                
      0.0        8,857,098         22     402,595.4       2,095.0         740    5,112,085   1,146,021.8  cuKernelGetFunction                             
      0.0        7,768,794          3   2,589,598.0   2,841,072.0     367,395    4,560,327   2,107,747.4  cudaGraphInstantiateWithFlags_v11040            
      0.0        7,341,083        240      30,587.8       6,740.0       1,020    4,896,492     316,719.7  cudaLaunchKernelExC_v11060                      
      0.0        5,779,618        128      45,153.3       4,750.5       2,389      457,866      78,344.0  cudaStreamCreateWithPriority                    
      0.0        2,134,251          3     711,417.0     298,104.0      25,080    1,811,067     962,059.3  cudaGraphExecDestroy_v10000                     
      0.0        1,507,033          4     376,758.3      22,150.5      15,911    1,446,821     713,381.3  cudaHostAlloc                                   
      0.0        1,382,283         32      43,196.3       3,895.0       2,740      198,103      69,393.0  cudaStreamCreateWithFlags                       
      0.0        1,288,307        176       7,319.9       5,699.5         360       46,671       6,803.7  cudaMemsetAsync                                 
      0.0          336,519      1,257         267.7         220.0          70        5,110         266.6  cuGetProcAddress_v2                             
      0.0          304,194          2     152,097.0     152,097.0     140,082      164,112      16,991.8  cuModuleLoadData                                
      0.0          247,021        424         582.6         550.0         280        1,480         244.5  cudaStreamGetCaptureInfo_v2_v11030              
      0.0          230,022         42       5,476.7       5,655.0         270       16,261       4,544.0  cuLibraryGetKernel                              
      0.0          228,514          3      76,171.3      74,121.0       3,251      151,142      73,966.8  cudaGraphDestroy_v10000                         
      0.0           36,850          1      36,850.0      36,850.0      36,850       36,850           0.0  cudaStreamCreate                                
      0.0           34,251         11       3,113.7       3,640.0       1,050        4,680       1,180.9  cudaStreamWaitEvent                             
      0.0           31,131          3      10,377.0      10,411.0       8,960       11,760       1,400.3  cudaStreamBeginCapture_v10000                   
      0.0           31,111          1      31,111.0      31,111.0      31,111       31,111           0.0  cudaStreamDestroy                               
      0.0           24,082          3       8,027.3       7,260.0       1,371       15,451       7,071.3  cudaStreamEndCapture_v10000                     
      0.0           18,500         35         528.6         370.0         350        2,880         546.8  cudaOccupancyMaxActiveClusters_v11070           
      0.0           17,342         26         667.0         540.0         250        1,460         434.7  cuKernelSetAttribute                            
      0.0           14,029         52         269.8         190.0          69          820         201.2  cuKernelGetAttribute                            
      0.0           12,431          4       3,107.8       2,900.5       1,770        4,860       1,415.8  cuInit                                          
      0.0            8,491         20         424.6         265.5         229        1,890         440.3  cuOccupancyMaxActiveClusters                    
      0.0            6,940          2       3,470.0       3,470.0       2,360        4,580       1,569.8  cudaEventRecord                                 
      0.0            6,800          3       2,266.7       1,900.0       1,670        3,230         842.2  cudaGraphGetNodes_v10000                        
      0.0            4,301          2       2,150.5       2,150.5       1,990        2,311         227.0  cudaOccupancyAvailableDynamicSMemPerBlock_v10200
      0.0            3,890          1       3,890.0       3,890.0       3,890        3,890           0.0  cudaProfilerStart                               
      0.0            2,580          5         516.0         260.0         110        1,310         515.2  cuModuleGetLoadingMode                          
      0.0            1,709          2         854.5         854.5         720          989         190.2  cuOccupancyAvailableDynamicSMemPerBlock         
      0.0              920          2         460.0         460.0         280          640         254.6  cudaGetDriverEntryPoint_v11030                  

Processing [profiles/gan_profile.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------------------------------------------------------------------------------------
     15.0      569,147,614     33,537     16,970.7     17,248.0     15,008     19,231        861.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
     12.7      482,805,618        818    590,226.9    539,915.5    501,756  1,707,505    161,842.0  triton_red_fused_leaky_relu_leaky_relu_backward_mul_sum_86                                          
     10.0      378,749,051      1,163    325,665.6    137,919.0    111,999  9,101,038  1,145,669.0  triton_red_fused_convolution_backward_18                                                            
      6.3      239,993,196         64  3,749,893.7  3,544,831.0  3,528,799  4,127,514    275,336.2  triton_poi_fused__to_copy_cat_77                                                                    
      5.5      210,774,900        264    798,389.8    644,890.0      8,512  1,721,776    708,646.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      4.4      166,839,933        326    511,778.9    511,739.0    500,924    518,747      2,252.7  triton_red_fused_convolution_backward_5                                                             
      4.4      166,254,861        325    511,553.4    511,611.0    499,931    517,179      2,074.7  triton_red_fused_convolution_backward_10                                                            
      4.1      157,046,467        597    263,059.4    263,134.0    251,486    266,493      1,576.2  triton_red_fused_convolution_backward_90                                                            
      4.1      156,594,021        595    263,183.2    263,454.0    251,454    266,206      1,656.8  triton_red_fused_convolution_backward_14                                                            
      3.9      148,016,181        178    831,551.6    780,521.0    773,209    957,879     71,653.7  triton_poi_fused__to_copy_convolution_leaky_relu_leaky_relu_backward_78                             
      2.5       96,517,916        296    326,074.0    325,789.0    321,597    327,869        757.2  triton_poi_fused_add_leaky_relu_backward_72                                                         
      2.4       92,253,483        631    146,202.0    125,118.0    107,135    261,182     49,814.2  triton_poi_fused__to_copy_convolution_leaky_relu_leaky_relu_backward_pixel_shuffle_69               
      2.3       88,528,562        637    138,977.3    138,591.0    127,007    148,863      2,433.7  triton_red_fused_convolution_backward_84                                                            
      2.2       82,114,311         88    933,117.2    932,920.0    925,400    937,912      2,953.7  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      1.9       71,418,109        743     96,121.3     94,848.0     77,312    111,263      7,828.7  triton_red_fused_leaky_relu_mul_sum_74                                                              
      1.8       69,092,166      1,175     58,801.8     14,848.0      6,496    202,271     72,884.7  triton_red_fused_convolution_backward_32                                                            
      1.7       65,938,722        484    136,237.0    135,295.0    130,495    141,470      2,558.6  triton_poi_fused__to_copy_convolution_leaky_relu_73                                                 
      1.5       57,498,477        531    108,283.4    101,343.0     96,191    123,487      9,194.5  triton_poi_fused__to_copy_convolution_leaky_relu_leaky_relu_backward_71                             
      1.4       51,509,513         44  1,170,670.8  1,170,630.0  1,168,245  1,172,598      1,145.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
      1.4       51,497,990         44  1,170,408.9  1,170,373.5  1,168,054  1,173,207      1,383.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…
      1.2       46,633,955        531     87,822.9     87,903.0     78,336     91,359      2,005.5  triton_poi_fused_leaky_relu_backward_27                                                             
      0.9       34,966,805         44    794,700.1    794,777.0    793,210    795,865        637.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sign_kernel_cuda(at::TensorItera…
      0.9       34,908,117         44    793,366.3    793,433.5    791,129    794,649        711.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<ch…
      0.8       31,271,381         44    710,713.2    710,682.0    710,458    713,146        387.2  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.7       26,901,697        743     36,206.9     36,256.0     30,624     40,672      2,397.5  triton_poi_fused_leaky_relu_backward_37                                                             
      0.7       25,843,354        138    187,270.7     28,015.5      2,784  5,224,242    568,614.4  void cudnn::engines_precompiled::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, (bool)0, (bo…
      0.7       25,712,036         44    584,364.5    584,555.5    582,395    585,787        815.7  void at::native::vectorized_elementwise_kernel<(int)8, at::native::bfloat16_copy_kernel_cuda(at::Te…
      0.6       22,438,657        645     34,788.6     35,488.0     21,888     37,344      3,328.2  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.5       17,603,113         44    400,070.8    400,076.5    398,236    402,268        731.8  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…
      0.3       11,445,114        531     21,553.9     21,568.0     18,176     23,008        660.9  triton_poi_fused_cat_60                                                                             
      0.3       10,392,675          4  2,598,168.8  2,946,422.0    904,952  3,594,879  1,273,610.9  sm80_xmma_wgrad_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize32x128x32_stage4_w…
      0.2        8,293,493        176     47,122.1      9,248.0      2,112    168,958     69,976.7  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat…
      0.2        7,920,184         65    121,849.0     27,680.0      2,144  1,620,049    340,690.6  void cudnn::engines_precompiled::nhwcToNchwKernel<__nv_bfloat16, __nv_bfloat16, float, (bool)1, (bo…
      0.1        5,633,805          1  5,633,805.0  5,633,805.0  5,633,805  5,633,805          0.0  triton_tem_fused__to_copy_convolution_leaky_relu_80                                                 
      0.1        4,747,510          1  4,747,510.0  4,747,510.0  4,747,510  4,747,510          0.0  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_256x128_64x3_nt_align2>(T1::Params)  
      0.1        4,334,968          1  4,334,968.0  4,334,968.0  4,334,968  4,334,968          0.0  triton_tem_fused__to_copy_convolution_leaky_relu_leaky_relu_backward_37                             
      0.1        3,692,254          1  3,692,254.0  3,692,254.0  3,692,254  3,692,254          0.0  triton_tem_fused__to_copy_convolution_81                                                            
      0.1        3,630,784          5    726,156.8    291,806.0    287,613  2,468,618    974,068.3  sm90_xmma_dgrad_implicit_gemm_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x64x32_warpgroupsize1x1…
      0.1        3,102,211          2  1,551,105.5  1,551,105.5  1,550,418  1,551,793        972.3  triton_poi_fused_leaky_relu_backward_3                                                              
      0.1        2,729,831          1  2,729,831.0  2,729,831.0  2,729,831  2,729,831          0.0  sm80_xmma_dgrad_implicit_gemm_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize256x32x32_stage4_warpsize4…
      0.1        2,518,668         88     28,621.2     28,784.0     26,783     30,560      1,052.3  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMe…
      0.1        2,256,523          1  2,256,523.0  2,256,523.0  2,256,523  2,256,523          0.0  triton_tem_fused__to_copy_convolution_leaky_relu_79                                                 
      0.1        2,218,222         88     25,207.1     24,704.0     18,624     36,736      6,256.1  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.1        2,193,393         88     24,924.9     25,119.5     17,919     32,224      6,343.4  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.1        2,096,301          1  2,096,301.0  2,096,301.0  2,096,301  2,096,301          0.0  void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_128x64_64x3_tn_align2>(T1::Params)        
      0.1        2,074,764         88     23,576.9     23,743.5     22,496     24,896        660.3  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.1        1,934,222          1  1,934,222.0  1,934,222.0  1,934,222  1,934,222          0.0  triton_poi_fused__to_copy_cat_39                                                                    
      0.1        1,924,236         88     21,866.3     21,888.0     20,928     23,136        529.4  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.0        1,523,953         14    108,853.8     70,895.0     29,920    241,630     88,855.7  sm90_xmma_wgrad_indexed_implicit_gemm_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_warpgroup…
      0.0        1,472,180          1  1,472,180.0  1,472,180.0  1,472,180  1,472,180          0.0  sm90_xmma_dgrad_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_warpgrou…
      0.0        1,471,635          1  1,471,635.0  1,471,635.0  1,471,635  1,471,635          0.0  triton_tem_fused__to_copy_convolution_leaky_relu_43                                                 
      0.0        1,389,075          1  1,389,075.0  1,389,075.0  1,389,075  1,389,075          0.0  triton_poi_fused_leaky_relu_backward_8                                                              
      0.0        1,313,171        753      1,743.9      1,792.0      1,344      2,176        131.6  triton_poi_fused__to_copy_convolution_13                                                            
      0.0        1,242,072        637      1,949.9      1,920.0      1,536      2,432         86.7  triton_poi_fused__to_copy_26                                                                        
      0.0        1,233,110        637      1,935.8      1,888.0      1,632      2,400        120.2  triton_per_fused__to_copy_convolution_backward_2                                                    
      0.0        1,144,379        647      1,768.7      1,792.0      1,312      2,496        142.9  triton_poi_fused__to_copy_convolution_7                                                             
      0.0        1,118,490        532      2,102.4      2,080.0      1,696      2,656        122.0  triton_per_fused__to_copy_convolution_backward_6                                                    
      0.0        1,098,422          4    274,605.5    274,717.5    273,949    275,038        466.0  sm90_xmma_fprop_implicit_gemm_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_warpgroupsize1x1…
      0.0        1,044,087        531      1,966.3      1,952.0      1,600      2,688        127.4  triton_per_fused__to_copy_convolution_backward_91                                                   
      0.0        1,039,930        639      1,627.4      1,664.0      1,312      1,984        121.7  triton_poi_fused__to_copy_convolution_5                                                             
      0.0        1,023,255        638      1,603.8      1,600.0      1,440      2,176        112.8  triton_poi_fused__to_copy_convolution_1                                                             
      0.0          945,144          5    189,028.8    189,183.0    188,574    189,470        413.4  triton_poi_fused_leaky_relu_backward_16                                                             
      0.0          910,041          4    227,510.3    227,566.0    226,974    227,935        455.4  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::fu…
      0.0          898,488          8    112,311.0    125,727.0     59,647    135,743     31,123.2  void cudnn::cnn::reduce_wgrad_nchw_helper<float, __nv_bfloat16>(void *, const void *, T1, int, int) 
      0.0          894,136          1    894,136.0    894,136.0    894,136    894,136          0.0  triton_poi_fused_leaky_relu_backward_88                                                             
      0.0          888,698         44     20,197.7     20,272.0     18,784     20,928        566.4  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMe…
      0.0          886,105          4    221,526.3    221,550.0    221,119    221,886        321.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::fu…
      0.0          861,048          1    861,048.0    861,048.0    861,048    861,048          0.0  nvjet_tst_256x128_64x4_2x1_v_bz_coopA_NNT                                                           
      0.0          827,993          1    827,993.0    827,993.0    827,993    827,993          0.0  nvjet_tss_64x128_64x8_1x1_v_ssched_bz_TNN                                                           
      0.0          785,625          1    785,625.0    785,625.0    785,625    785,625          0.0  nvjet_tst_512x64_64x2_2x1_v_bz_coopB_NTN                                                            
      0.0          771,161         44     17,526.4     17,440.0     17,120     21,088        592.3  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.0          735,158        425      1,729.8      1,760.0      1,536      2,304        129.8  triton_poi_fused__to_copy_convolution_36                                                            
      0.0          726,233          1    726,233.0    726,233.0    726,233    726,233          0.0  sm90_xmma_gemm_bf16bf16_bf16f32_f32_nt_n_tilesize128x128x64_cgasize1x1x1_warpgroupsize1x1x1_aligna4…
      0.0          725,178          1    725,178.0    725,178.0    725,178    725,178          0.0  triton_poi_fused_cat_74                                                                             
      0.0          717,817          2    358,908.5    358,908.5    320,701    397,116     54,033.6  void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_256x64_32x4_tn_align2>(T1::Params)        
      0.0          708,026          3    236,008.7    154,687.0     56,767    496,572    230,904.8  sm90_xmma_dgrad_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize256x64x64_warpgrou…
      0.0          702,682          1    702,682.0    702,682.0    702,682    702,682          0.0  triton_poi_fused_leaky_relu_backward_12                                                             
      0.0          676,122          1    676,122.0    676,122.0    676,122    676,122          0.0  triton_poi_fused__to_copy_convolution_leaky_relu_leaky_relu_backward_pixel_shuffle_76               
      0.0          593,051          2    296,525.5    296,525.5    277,629    315,422     26,723.7  sm80_xmma_wgrad_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize64x64x64_stage4_wa…
      0.0          589,179          1    589,179.0    589,179.0    589,179    589,179          0.0  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_128x64_64x3_nt_align2>(T1::Params)   
      0.0          533,051          1    533,051.0    533,051.0    533,051    533,051          0.0  triton_red_fused_leaky_relu_mul_sum_87                                                              
      0.0          505,594         44     11,490.8     11,199.5     10,687     14,015        898.7  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.0          494,839         44     11,246.3     11,200.0     10,751     12,000        360.3  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.0          492,382        353      1,394.8      1,344.0      1,056      2,016        200.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
      0.0          463,452          1    463,452.0    463,452.0    463,452    463,452          0.0  triton_tem_fused__to_copy_convolution_44                                                            
      0.0          458,781          2    229,390.5    229,390.5    142,943    315,838    122,255.2  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_64x256_32x4_nt_align2>(T1::Params)   
      0.0          448,539          1    448,539.0    448,539.0    448,539    448,539          0.0  triton_tem_fused__to_copy_convolution_46                                                            
      0.0          440,859          9     48,984.3     51,392.0     44,288     52,288      3,315.3  sm90_xmma_wgrad_indexed_implicit_gemm_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x128x64_warpgro…
      0.0          425,980          1    425,980.0    425,980.0    425,980    425,980          0.0  triton_poi_fused_pixel_unshuffle_0                                                                  
      0.0          413,885          1    413,885.0    413,885.0    413,885    413,885          0.0  triton_poi_fused__to_copy_cat_47                                                                    
      0.0          403,005          1    403,005.0    403,005.0    403,005    403,005          0.0  triton_poi_fused_cat_70                                                                             
      0.0          393,788          1    393,788.0    393,788.0    393,788    393,788          0.0  triton_poi_fused_pixel_shuffle_82                                                                   
      0.0          382,237          1    382,237.0    382,237.0    382,237    382,237          0.0  triton_poi_fused_leaky_relu_backward_82                                                             
      0.0          372,508          1    372,508.0    372,508.0    372,508    372,508          0.0  nvjet_tst_256x128_64x4_1x2_h_bz_coopA_NNT                                                           
      0.0          371,708          1    371,708.0    371,708.0    371,708    371,708          0.0  nvjet_tss_64x128_64x8_1x2_h_bz_TNN                                                                  
      0.0          368,733          1    368,733.0    368,733.0    368,733    368,733          0.0  void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688gemm_bf16_64x64_nt_align1>(T1::Params)          
      0.0          327,453          1    327,453.0    327,453.0    327,453    327,453          0.0  triton_tem_fused__to_copy_convolution_leaky_relu_75                                                 
      0.0          320,765          1    320,765.0    320,765.0    320,765    320,765          0.0  nvjet_tst_384x64_64x3_2x1_v_bz_coopB_NTN                                                            
      0.0          303,933          1    303,933.0    303,933.0    303,933    303,933          0.0  triton_tem_fused__to_copy_convolution_leaky_relu_48                                                 
      0.0          303,901          1    303,901.0    303,901.0    303,901    303,901          0.0  nvjet_tss_192x64_64x6_1x1_v_bz_TNT                                                                  
      0.0          297,629          3     99,209.7     99,551.0     97,407    100,671      1,658.6  triton_poi_fused__to_copy_convolution_leaky_relu_leaky_relu_backward_45                             
      0.0          295,677          7     42,239.6     50,592.0     26,304     51,744     11,309.4  sm90_xmma_fprop_implicit_gemm_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x128x64_warpgroupsize1x…
      0.0          290,749          1    290,749.0    290,749.0    290,749    290,749          0.0  triton_tem_fused__to_copy_convolution_leaky_relu_49                                                 
      0.0          284,990          1    284,990.0    284,990.0    284,990    284,990          0.0  nvjet_tst_192x192_64x3_2x1_v_bz_coopB_NTN                                                           
      0.0          278,814          1    278,814.0    278,814.0    278,814    278,814          0.0  void cutlass::Kernel2<cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nt_align1>(T1::Para…
      0.0          271,262          1    271,262.0    271,262.0    271,262    271,262          0.0  triton_tem_fused__to_copy_convolution_leaky_relu_72                                                 
      0.0          265,055          5     53,011.0     52,896.0     52,672     53,568        345.0  sm90_xmma_fprop_implicit_gemm_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize256x128x64_warpgroupsize2x…
      0.0          254,878         85      2,998.6      2,432.0      1,824      5,472      1,237.0  void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat…
      0.0          236,128        132      1,788.8      1,728.0      1,440      2,560        216.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
      0.0          229,726          1    229,726.0    229,726.0    229,726    229,726          0.0  triton_poi_fused_leaky_relu_backward_23                                                             
      0.0          200,800          5     40,160.0     40,128.0     39,808     40,480        248.9  sm90_xmma_dgrad_implicit_gemm_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x128x64_warpgroupsize1x…
      0.0          199,360          4     49,840.0     50,064.0     48,992     50,240        589.2  sm90_xmma_dgrad_implicit_gemm_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_warpgroupsize1x…
      0.0          197,150          1    197,150.0    197,150.0    197,150    197,150          0.0  triton_red_fused_convolution_backward_1                                                             
      0.0          165,886          1    165,886.0    165,886.0    165,886    165,886          0.0  triton_poi_fused_leaky_relu_backward_76                                                             
      0.0          163,327          1    163,327.0    163,327.0    163,327    163,327          0.0  triton_poi_fused_leaky_relu_backward_75                                                             
      0.0          159,423          1    159,423.0    159,423.0    159,423    159,423          0.0  triton_poi_fused_leaky_relu_backward_21                                                             
      0.0          147,167          1    147,167.0    147,167.0    147,167    147,167          0.0  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_bf16_64x64_32x6_nt_align2>(T1::Params)    
      0.0          137,566         44      3,126.5      3,200.0      2,784      3,584        230.3  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::NormTwoOps…
      0.0          127,807         27      4,733.6      4,992.0      2,688      6,080      1,041.3  void cask_plugin__5x_cudnn::xmma__5x_cudnn::init_device_workspace_kernel<xmma__5x_cudnn::implicit_g…
      0.0          119,007         44      2,704.7      2,656.0      2,560      2,880         93.5  void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(…
      0.0          117,054          4     29,263.5     27,775.5     24,672     36,831      5,273.9  sm80_xmma_wgrad_implicit_gemm_indexed_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize32x128x32_stage4_w…
      0.0          111,391          5     22,278.2     22,528.0     21,280     22,560        559.4  triton_poi_fused_leaky_relu_backward_30                                                             
      0.0          107,743          1    107,743.0    107,743.0    107,743    107,743          0.0  nvjet_tst_192x128_64x5_1x2_h_bz_coopB_NNT                                                           
      0.0          106,943          1    106,943.0    106,943.0    106,943    106,943          0.0  triton_poi_fused_cat_66                                                                             
      0.0          101,343          1    101,343.0    101,343.0    101,343    101,343          0.0  triton_tem_fused__to_copy_convolution_51                                                            
      0.0           99,999         44      2,272.7      2,272.0      2,176      2,464         70.2  void at::native::lpnorm_cleanup<float, (at::native::NormType)1, float, float>(const T4 *, at::nativ…
      0.0           99,871          1     99,871.0     99,871.0     99,871     99,871          0.0  triton_tem_fused__to_copy_convolution_68                                                            
      0.0           94,719          1     94,719.0     94,719.0     94,719     94,719          0.0  nvjet_tst_192x128_64x5_1x1_v_bz_coopB_NTT                                                           
      0.0           89,216          1     89,216.0     89,216.0     89,216     89,216          0.0  triton_tem_fused__to_copy_convolution_leaky_relu_61                                                 
      0.0           85,981          6     14,330.2     14,287.5     13,504     15,295        802.8  triton_poi_fused__to_copy_convolution_leaky_relu_53                                                 
      0.0           84,319          1     84,319.0     84,319.0     84,319     84,319          0.0  triton_red_fused_leaky_relu_leaky_relu_backward_mul_sum_73                                          
      0.0           81,088         44      1,842.9      1,888.0      1,696      1,984         94.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::Tenso…
      0.0           78,879          2     39,439.5     39,439.5     38,207     40,672      1,743.0  sm90_xmma_wgrad_indexed_implicit_gemm_bf16bf16_bf16f32_f32_nhwckrsc_nhwc_tilesize128x64x64_warpgrou…
      0.0           77,279          1     77,279.0     77,279.0     77,279     77,279          0.0  triton_tem_fused__to_copy_convolution_56                                                            
      0.0           71,613          6     11,935.5     12,080.0     11,071     12,224        433.4  triton_poi_fused_leaky_relu_backward_40                                                             
      0.0           70,719          1     70,719.0     70,719.0     70,719     70,719          0.0  triton_red_fused_convolution_backward_24                                                            
